# nom	paquet — index de la bibliothèque standard SysML v2.
# Généré par tools/gen-stdlib.py --fetch ; ne pas éditer à la main.
# Source : https://github.com/Systems-Modeling/SysML-v2-Release (sysml.library/, master)
CoefficientOfHeatTransferUnit	ISQThermodynamics
CoefficientOfHeatTransferValue	ISQThermodynamics
CoercivityUnit	ISQElectromagnetism
CoercivityValue	ISQElectromagnetism
Collection	Collections
CompletedCallIntensityUnit	ISQInformation
CompletedCallIntensityValue	ISQInformation
Complex	ScalarValues
CompressibilityNumberValue	ISQCharacteristicNumbers
CompressibilityUnit	ISQMechanics
CompressibilityValue	ISQMechanics
ConcernCheck	Requirements
ConditionalEntropyUnit	ISQInformation
ConditionalEntropyValue	ISQInformation
ConditionalInformationContentUnit	ISQInformation
ConditionalInformationContentValue	ISQInformation
ConductanceUnit	ISQElectromagnetism
ConductanceValue	ISQElectromagnetism
ConductivityUnit	ISQElectromagnetism
ConductivityValue	ISQElectromagnetism
Cone	ShapeItems
ConeOrCylinder	ShapeItems
ConicSection	ShapeItems
ConicSurface	ShapeItems
Connection	Connections
ConstraintCheck	Constraints
ContinuousStateSpaceDynamics	StateSpaceRepresentation
ControlAction	Actions
ConversionByConvention	MeasurementReferences
ConversionByPrefix	MeasurementReferences
ConvertQuantity	QuantityCalculations
CoordinateFrame	MeasurementReferences
CoordinateFramePlacement	MeasurementReferences
CoordinateTransformation	MeasurementReferences
CountValue	MeasurementReferences
CouplingFactorValue	ISQElectromagnetism
CowlingNumberValue	ISQCharacteristicNumbers
CubicExpansionCoefficientUnit	ISQThermodynamics
CubicExpansionCoefficientValue	ISQThermodynamics
Cuboid	ShapeItems
CuboidOrTriangularPrism	ShapeItems
CurrentDisplacementOf	SpatialItems
CurrentPositionOf	SpatialItems
CurvatureUnit	ISQSpaceTime
CurvatureValue	ISQSpaceTime
CyclicRatioScale	MeasurementReferences
Cylinder	ShapeItems
CylindricalDisplacement3dVector	ISQSpaceTime
CylindricalPosition3dVector	ISQSpaceTime
CylindricalSpatial3dCoordinateFrame	ISQSpaceTime
DampingCoefficientUnit	ISQSpaceTime
DampingCoefficientValue	ISQSpaceTime
DarcyFrictionFactorValue	ISQCharacteristicNumbers
DataValue	Base
Date	Time
DateTime	Time
DeanNumberValue	ISQCharacteristicNumbers
DeborahNumberValue	ISQCharacteristicNumbers
DebyeWallerFactorValue	ISQCondensedMatter
DecayConstantUnit	ISQAtomicNuclear
DecayConstantValue	ISQAtomicNuclear
DecisionAction	Actions
DecisionContentValue	ISQInformation
DecisionPerformance	ControlPerformances
DecisionTransitionAction	Actions
DefaultFrameLife	SpatialFrames
DefaultMonitorLife	Observation
DefinitionalQuantityValue	MeasurementReferences
DegeneracyValue	ISQChemistryMolecular
DegreeOfDissociationValue	ISQChemistryMolecular
DensityOfHeatFlowRateUnit	ISQThermodynamics
DensityOfHeatFlowRateValue	ISQThermodynamics
DensityOfVibrationalStatesUnit	ISQCondensedMatter
DensityOfVibrationalStatesValue	ISQCondensedMatter
Derivation	DerivationConnections
DerivationMetadata	RequirementDerivation
DerivedRequirementMetadata	RequirementDerivation
DerivedUnit	MeasurementReferences
DesignConstraintCheck	Requirements
DiffusionCoefficientUnit	ISQChemistryMolecular
DiffusionCoefficientValue	ISQChemistryMolecular
DimensionOneUnit	MeasurementReferences
DimensionOneValue	MeasurementReferences
DirectionAndEnergyDistributionOfCrossSectionUnit	ISQAtomicNuclear
DirectionAndEnergyDistributionOfCrossSectionValue	ISQAtomicNuclear
